# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = improper_uniform_priors_model
# start_datetime = 2024-04-25 13:22:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 750
#     num_warmup = 250
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 2
# id = 1 (Default)
# data
#   file = C:\Users\ethan\AppData\Local\Temp\tmpjlym7j_h\n4htwgh6.json
# init = 0
# random
#   seed = 1582331695
# output
#   file = C:\Users\ethan\OneDrive - University of Bristol\Maths\Year 4\Project\hawkes_project\bayesian_clean\saved_fits\improper_uniform_priors\realisation7\improper_uniform_priors-20240425142233.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=improper_uniform_priors.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,alpha,delta
-83.354,1,0.125,2,3,0,94.485,0.63261,0.613416,1.60668
-83.354,0,14.3855,0,1,1,85.0026,0.63261,0.613416,1.60668
-83.354,0,2.43117,0,1,1,83.7275,0.63261,0.613416,1.60668
-83.354,1.24996e-008,0.239791,1,3,1,83.7885,0.63261,0.613416,1.60668
-78.3767,0.999755,0.0186273,4,31,0,84.2591,1.21204,0.677988,1.59106
-77.3198,0.931705,0.025707,3,15,0,87.1686,0.909116,0.648218,1.94708
-77.6986,0.98836,0.0327574,2,3,0,77.9412,0.89608,0.627565,1.9355
-76.5053,1,0.0535454,2,3,0,77.7028,0.980903,0.628534,1.83217
-77.0223,0.785661,0.095448,3,15,0,79.7608,1.41402,0.805476,3.74937
-77.7364,0.916278,0.0891932,3,15,0,80.1264,1.16385,0.50587,2.82691
-76.5656,0.992224,0.127991,3,11,0,79.3559,1.24199,0.502312,2.10585
-76.5656,2.13856e-008,0.236058,1,1,0,78.5797,1.24199,0.502312,2.10585
-76.3891,0.999347,0.0192211,5,63,0,77.3285,0.979466,0.71545,1.79287
-76.1887,0.999832,0.0369166,4,15,0,76.4382,0.999653,0.714929,1.92893
-79.3453,0.755939,0.0709873,2,3,0,79.4094,0.804114,0.6721,2.01822
-78.3395,0.996962,0.0638912,3,7,0,79.8024,1.11452,0.923587,1.89795
-77.4178,0.975092,0.121295,2,7,0,78.7914,0.963503,0.985736,2.00133
-78.1814,0.109153,0.213927,2,3,0,78.8092,0.831659,0.895323,2.45063
-76.8562,0.999879,0.0271637,4,15,0,79.0231,1.07616,1.07427,2.48903
-78.4781,0.94556,0.0519437,4,31,0,83.5545,0.906257,0.428635,1.02967
-76.4289,0.999943,0.0837118,4,31,0,78.4691,1.22909,0.54121,2.3412
-76.6988,0.720422,0.157353,3,7,0,78.6793,1.13339,0.677239,3.04412
-77.1948,0.993453,0.129064,3,15,0,77.997,1.11579,0.462336,2.00047
-77.1948,0.0672871,0.235004,1,3,1,77.9339,1.11579,0.462336,2.00047
-79.0046,0.99755,0.0293744,5,31,0,80.35,0.937561,0.966865,1.70528
-77.3741,0.999609,0.0542902,3,7,0,79.7181,1.02625,0.860674,1.80548
-76.0184,0.999614,0.0999084,3,15,0,78.7391,1.18326,0.641771,2.45403
-76.0184,0.138195,0.182005,2,5,0,76.9576,1.18326,0.641771,2.45403
-76.4421,0.998482,0.0298073,4,23,0,77.5595,1.27267,0.56965,2.56626
-76.8153,0.997673,0.0541471,4,31,0,77.2781,1.27208,0.470105,1.95683
-78.3729,0.87995,0.0971774,2,7,0,79.7874,0.850385,0.67061,1.27151
-76.7771,0.748046,0.125458,3,7,0,80.1058,1.05521,0.745563,1.73685
-78.7396,0.777459,0.113055,2,3,0,78.9756,0.779321,0.697441,1.7953
-78.1714,0.996787,0.110389,2,7,0,79.4896,1.26448,0.738588,1.84539
-78.1714,0.674491,0.192823,1,3,0,79.0952,1.26448,0.738588,1.84539
-76.1085,1,0.143042,2,3,0,77.1034,1.07389,0.681417,1.88433
-76.1085,0.000254042,0.249205,1,3,0,78.8757,1.07389,0.681417,1.88433
-76.3116,0.993432,0.0323597,4,31,0,77.6777,1.06704,0.885666,2.18022
